Id,Name,IdentityNumber,PhoneNumber,Email,Type
1,იაკობ ქობალია,54653680067,599022908,Iakob.Kobalia@gmail.com,0,
2,ბესო გურგენიძე,50826110768,597026958,Beso.Gurgenidze@gmail.com,0,
3,ზაალ ხურცილავა,17918001867,555462976,Zaal.Khurtsilava@gmail.com,0,
4,ოთარ ჯუღაშვილი,30963811576,555746928,Otar.Jughashvili@gmail.com,0,
5,ნანი ჭავჭავაძე,61942451548,597337781,Nani.Chavchavadze@gmail.com,0,
6,დარეჯან დიასამიძე,23013245255,599022132,Darejan.Diasamidze@gmail.com,0,
7,ანდრია შენგელია,71013967710,555903912,Andria.Shengelia@gmail.com,0,
8,სოფი ჯიშკარიანი,75205531721,599030474,Sopho.Jishkariani@gmail.com,0,
9,შპს თეგეტა მოტორსი,215142548,595217471,Info@tegeta.ge,1,
10,შპს ალტა სოფტვეარი,397143271,598736321,Info@altasoft.ge,1,
